id,zip,street_city_state,name,address_full,geocoded_address,lat,lon
61,55448,15 COON RAPIDS BOULEVARD COON RAPIDS MN,"PAYDAY AMERICA, INC.  ",15 COON RAPIDS BOULEVARD COON RAPIDS MN 55448,,,
92,56560,1500 30TH AVENUE SOUTH SUITE D MOORHEAD MN,"ONEMAIN FINANCIAL SERVICES, INC.  ",1500 30TH AVENUE SOUTH SUITE D MOORHEAD MN 56560,"1500 S 30th Ave, Moorhead, MN 56560",46.844134,-96.756059
65,56721,1512 CENTRAL AVENUE NE EAST GRAND FORKS EAST GRAND FORKS MN,"ONEMAIN FINANCIAL SERVICES, INC.  ",1512 CENTRAL AVENUE NE EAST GRAND FORKS EAST GRAND FORKS MN 56721,,,
115,55104,1532 UNIVERSITY STREET SUITE 100 ST. PAUL MN,ACE MINNESOTA CORP.  ,1532 UNIVERSITY STREET SUITE 100 ST. PAUL MN 55104,"1532 University Ave W, St Paul, MN 55104",44.955406,-93.163116
119,55106,1608 WHITE BEAR AVENUE NORTH ST. PAUL MN,UNLOAN CORPORATION  ,1608 WHITE BEAR AVENUE NORTH ST. PAUL MN 55106,"1608 White Bear Ave N, St Paul, MN 55106",44.989661,-93.025166
117,55104,1636 UNIVERSITY AVENUE ST. PAUL MN,"PAYDAY AMERICA, INC. ",1636 UNIVERSITY AVENUE ST. PAUL MN 55104,"1636 University Ave W, St Paul, MN 55104",44.955288,-93.169373
74,56001,1650 MADISON AVENUE MANKATO MN,"ONEMAIN FINANCIAL SERVICES, INC.  ",1650 MADISON AVENUE MANKATO MN 56001,"1650 E Madison Ave, Mankato, MN 56001",44.166995,-93.962361
71,55343,168 NORTH BLAKE ROAD HOPKINS MN,"PAYDAY AMERICA, INC.  ",168 NORTH BLAKE ROAD HOPKINS MN 55343,"168 Blake Rd N, Hopkins, MN 55343",44.927592,-93.385764
118,55106,1696 SUBURBAN AVENUE ST. PAUL MN,"PAYDAY AMERICA, INC.  ",1696 SUBURBAN AVENUE ST. PAUL MN 55106,"1696 Suburban Ave, St Paul, MN 55106",44.949665,-93.030583
77,55119,1700-D RICE STREET MAPLEWOOD MN,UNLOAN CORPORATION  ,1700-D RICE STREET MAPLEWOOD MN 55119,,,
75,56001,1703 MADISON AVENUE SUITE 2 MANKATO MN,"PAYDAY AMERICA, INC.  ",1703 MADISON AVENUE SUITE 2 MANKATO MN 56001,"1703 E Madison Ave, Mankato, MN 56001",44.166774,-93.960263
107,55113,1715 NORTH RICE STREET ROSEVILLE MN,"PAYDAY AMERICA, INC.  ",1715 NORTH RICE STREET ROSEVILLE MN 55113,,,
7,55425,1722 EAST OLD SHAKOPEE ROAD  BLOOMINGTON MN,"CASH IT II, INC.   ",1722 EAST OLD SHAKOPEE ROAD  BLOOMINGTON MN 55425,"1722 E Old Shakopee Rd, Minneapolis, MN 55425",44.836853,-93.249634
47,55420,1722 EAST OLD SHAKOPEE ROAD BLOOMINGTON MN ,"NEIGHBORHOOD FINANCIAL SERVICES, INC ",1722 EAST OLD SHAKOPEE ROAD BLOOMINGTON MN  55420,,,
20,55044,17400 KENWOOD TRAIL SUITE 302B LAKEVILLE MN,KEY WEST HOLDINGS OF MINNESOTA LLC DBA DUSTY'S CHECK CASH  ,17400 KENWOOD TRAIL SUITE 302B LAKEVILLE MN 55044,"17400 Kenwood Trail, Lakeville, MN 55044",44.696854,-93.286163
57,55337,181 RIVER RIDGE CIRCLE SOUTH BURNSVILLE MN,"PAYDAY AMERICA, INC.  ",181 RIVER RIDGE CIRCLE SOUTH BURNSVILLE MN 55337,"181 S River Ridge Circle, Burnsville, MN 55337",44.777225,-93.283214
104,55901,1932 VIKING DRIVE NORTHWEST ROCHESTER MN ,MINNESOTA FIRST CREDIT AND SAVINGS ,1932 VIKING DRIVE NORTHWEST ROCHESTER MN  55901,"1932 Viking Dr NW, Rochester, MN 55901",44.044228,-92.468864
30,56352,200 WEST JAMES STREET  PAYNESVILLE MN,BN'T LOAN L.L.C.   ,200 WEST JAMES STREET  PAYNESVILLE MN 56352,"200 W James St, Paynesville, MN 56362",45.38232,-94.715302
44,55303,205 EAST MAIN STREET ANOKA MN,UNLOAN CORPORATION  ,205 EAST MAIN STREET ANOKA MN 55303,"205 E Main St, Anoka, MN 55303",45.198143,-93.389069
23,56156,206 WEST MAIN STREET LUVERNE MN,BN'T LOAN L.L.C.   ,206 WEST MAIN STREET LUVERNE MN 56156,"206 W Main St, Luverne, MN 56156",43.654351,-96.211411
21,55044,20908 HOLYOKE AVE. SUITE 200 LAKEVILLE MN,"LAJA ENTERPRISES, INC. DBA RAPID CASH PLUS   ",20908 HOLYOKE AVE. SUITE 200 LAKEVILLE MN 55044,"20908 Holyoke Ave, Lakeville, MN 55044",44.646988,-93.242485
18,55744,"2101 HIGHWAY 169 SOUTH, SUITE 5  GRAND RAPIDS  MN ",S&P LOAN CO.  ,"2101 HIGHWAY 169 SOUTH, SUITE 5  GRAND RAPIDS  MN  55744","2101 S Pokegama Ave, Grand Rapids, MN 55744",47.210102,-93.528913
31,56573,211 W. MAIN  PERHAM  MN ,"PAWN AND LOAN, LLC  ",211 W. MAIN  PERHAM  MN  56573,"211 W Main St, Perham, MN 56573",46.595013,-95.57432
10,55337,2125 WEST HIGHWAY 13 BURNSVILLE  MN,"CHECKS R US, INC.    ",2125 WEST HIGHWAY 13 BURNSVILLE  MN 55337,"2125 S MN-13 Frontage Rd, Burnsville, MN 55337",44.773175,-93.308949
8,55425,218 EAST BROADWAY  BLOOMINGTON MN,MADISON FINANCIAL COMPANIES DBA MONEY XCHANGE    ,218 EAST BROADWAY  BLOOMINGTON MN 55425,,,
78,55340,220 BERGAMOT DRIVE MEDINA MN ,"GREAT NORTHERN FINANCIAL GROUP, INC. OF MINNESOTA",220 BERGAMOT DRIVE MEDINA MN  55340,"220 Bergamot Dr, Hamel, MN 55340",45.064411,-93.528061
24,55418,2211 CENTRAL AVENUE NE MINNEAPOLIS MN,"CASH CZECHS, INC. DBA KWIK CASH    ",2211 CENTRAL AVENUE NE MINNEAPOLIS MN 55418,"2211 NE Central Ave, Minneapolis, MN 55418",45.010089,-93.247296
15,55811,2304 MOUNTAIN SHADOW DRIVE  VILLAGE SQUARE MALL DULUTH  MN,CHECK TREK INC. DBA PEOPLES SMALL LOAN COMPANY   ,2304 MOUNTAIN SHADOW DRIVE  VILLAGE SQUARE MALL DULUTH  MN 55811,,,
37,56304,24 14TH AVENUE NORTHEAST SUITE 300 ST. CLOUD MN ,"BENNETT VENTURES, INC.  ",24 14TH AVENUE NORTHEAST SUITE 300 ST. CLOUD MN  56304,"24 14th Ave NE, St. Cloud, MN 56304",45.568618,-94.134667
19,55746,2400 1ST AVENUE  HIBBING M,S&P LOAN CO. N  ,2400 1ST AVENUE  HIBBING M 55746,"2400 1st Ave, Hibbing, MN 55746",47.422523,-92.941684
110,56301,2550 WEST DIVISION SSTREET ST. CLOUD MN,"PAYDAY AMERICA, INC.  ",2550 WEST DIVISION SSTREET ST. CLOUD MN 56301,"2550 W Division St, St. Cloud, MN 56301",45.553094,-94.188695
87,55408,2600 NICOLLET AVE MINNEAPOLIS MN,"PAYDAY AMERICA, INC.  ",2600 NICOLLET AVE MINNEAPOLIS MN 55408,"2600 Nicollet Ave S, Minneapolis, MN 55408",44.955299,-93.27832
34,57107,"2608 NORTH CAREER AVENUE, #206  C/O MATTHEW SATHER SIOUX FALLS SD  ","CHOPPERS OF MONTEVIDEO, LLC DBA MINNESOTA FINANCE  ","2608 NORTH CAREER AVENUE, #206  C/O MATTHEW SATHER SIOUX FALLS SD   57107",,,
76,55109,2645 WHITE BEAR LAKE AVENUE MAPLEWOOD MN,"ONEMAIN FINANCIAL SERVICES, INC.  ",2645 WHITE BEAR LAKE AVENUE MAPLEWOOD MN 55109,"2645 White Bear Ave N, St Paul, MN 55109",45.021339,-93.019699
82,55404,27 EAST FRANKLIN AVENUE MINNEAPOLIS MN ,ACE MINNESOTA CORP. ,27 EAST FRANKLIN AVENUE MINNEAPOLIS MN  55404,"27 E Franklin Ave, Minneapolis, MN 55404",44.962645,-93.27738
109,55421,2700 39TH AVENUE NE SILVER LAKE VILLAGE ST. ANTHONY MN,"ONEMAIN FINANCIAL SERVICES, INC.  ",2700 39TH AVENUE NE SILVER LAKE VILLAGE ST. ANTHONY MN 55421,,,
81,55406,2709 EAST LAKE STREET SUITE 104 MINNEAPOLIS MN,ACE MINNESOTA CORP.  ,2709 EAST LAKE STREET SUITE 104 MINNEAPOLIS MN 55406,"2709 E Lake St, Minneapolis, MN 55406",44.948109,-93.232727
93,55427,2761 WINNETKA AVENUE NEW HOPE MN,ACE MINNESOTA CORP  ,2761 WINNETKA AVENUE NEW HOPE MN 55427,"2761 Winnetka Ave N, Minneapolis, MN 55427",45.008759,-93.380427
85,55405,2915 WAYZATA BLVD SUITE 201 MINNEAPOLIS MN ,"CENTURY CAPITAL GROUP, INC. ",2915 WAYZATA BLVD SUITE 201 MINNEAPOLIS MN  55405,"2915 S Wayzata Blvd, Minneapolis, MN 55405",44.969639,-93.31826
83,55408,2945 DUPONT AVENUE SOUTH MINNEAPOLIS MN ,ACE MINNESOTA CORP. ,2945 DUPONT AVENUE SOUTH MINNEAPOLIS MN  55408,"2945 S Dupont Ave, Minneapolis, MN 55408",44.949256,-93.293124
86,55408,30 WEST LAKE STREET MINNEAPOLIS MN ,"NEIGHBORHOOD FINANCIAL SERVICES, INC. ",30 WEST LAKE STREET MINNEAPOLIS MN  55408,"30 W Lake St, Minneapolis, MN 55408",44.949306,-93.279129
60,55433,300 COON RAPIDS BOULEVARD SUITE 100 COON RAPIDS MN,"GREAT NORTHERN FINANCIAL GROUP, INC. OF MINNESOTA  ",300 COON RAPIDS BOULEVARD SUITE 100 COON RAPIDS MN 55433,"300 Coon Rapids Blvd NW, Minneapolis, MN 55433",45.139568,-93.276031
84,55406,3018 EAST LAKE STREET MINNEAPOLIS MN,"CASH WELL, INC.  ",3018 EAST LAKE STREET MINNEAPOLIS MN 55406,"3018 E Lake St, Minneapolis, MN 55406",44.948654,-93.2276
42,56201,312 24TH AVENUE SW WILLMAR MN ,"BENNETT VENTURES, INC.  ",312 24TH AVENUE SW WILLMAR MN  56201,"312 24th Ave SW, Willmar, MN 56201",45.099552,-95.043953
64,55811,339 EAST CENTRAL ENTRANCE DULUTH MN,"PAYDAY AMERICA, INC.  ",339 EAST CENTRAL ENTRANCE DULUTH MN 55811,"339 E Central Entrance, Duluth, MN 55811",46.800348,-92.123639
116,55102,345 ST. PETER STREET LANDMARK TOWERS ST. PAUL MN ,GREEN TREE LOAN COMPANY ,345 ST. PETER STREET LANDMARK TOWERS ST. PAUL MN  55102,,,
38,56301,3801 3RD STREET NORTH  DBA PEOPLE'S SMALL LOAN COMPANY  ST. CLOUD MN,PEOPLE'S SMALL LOAN COMPANY   ,3801 3RD STREET NORTH  DBA PEOPLE'S SMALL LOAN COMPANY  ST. CLOUD MN 56301,,,
62,55807,3909 GRAND AVENUE WEST DULUTH MN ,"E-Z OWN FINANCING, INC. ",3909 GRAND AVENUE WEST DULUTH MN  55807,"3909 Grand Ave, Duluth, MN 55807",46.752418,-92.150214
103,55901,4 12TH STREET NW ROCHESTER MN ,"E-Z OWN FINANCING, INC. ",4 12TH STREET NW ROCHESTER MN  55901,"4 12th St NW, Rochester, MN 55901",44.034851,-92.463448
22,56345,400 WEST BROADWAY  LITTLE FALLS  MN,PEOPLE'S SMALL LOAN COMPANY    ,400 WEST BROADWAY  LITTLE FALLS  MN 56345,"400 Broadway Ave W, Little Falls, MN 56345",45.977152,-94.374739
2,56308,403 BROADWAY ALEXANDRIA  MN,VIKING PAWN INC.   ,403 BROADWAY ALEXANDRIA  MN 56308,"403 Broadway St, Alexandria, MN 56308",45.888124,-95.377487
59,55421,4110 CENTRAL AVENUE NE COLUMBIA HEIGHTS MN,ACE MINNESOTA CORP.  ,4110 CENTRAL AVENUE NE COLUMBIA HEIGHTS MN 55421,"4110 Central Ave NE, Minneapolis, MN 55421",45.04353,-93.247757
102,55422,4121 LAKELAND AVENUE ROBBINSDALE MN,"PAYDAY AMERICA, INC.  ",4121 LAKELAND AVENUE ROBBINSDALE MN 55422,"4121 Lakeland Ave N, Minneapolis, MN 55422",45.030613,-93.337341
101,55422,4134 WEST BROADWAY ROBBINSDALE MN,"PAYDAY AMERICA, INC.  ",4134 WEST BROADWAY ROBBINSDALE MN 55422,"4134 W Broadway Ave, Minneapolis, MN 55422",45.030437,-93.338249
17,76109,4150 INTERNATIONAL PLAZA SUITE 400 FORT WORTH  TX,"PDO FINANCIAL, LLC DBA PAYDAY ONE    ",4150 INTERNATIONAL PLAZA SUITE 400 FORT WORTH  TX 76109,"4150 International Pl, Fort Worth, TX 76109",32.688889,-97.400421
105,55901,4220 HIGHWAY 52 NORTH ROCHESTER MN,"ONEMAIN FINANCIAL SERVICES, INC.  ",4220 HIGHWAY 52 NORTH ROCHESTER MN 55901,"4220 W Frontage Rd NW, Rochester, MN 55901",44.066933,-92.503375
32,55904,426 3RD AVENUE SE  ROCHESTER MN ,"NATIONAL PAYDAY ADVANTAGE OF MINNESOTA, LLC   ",426 3RD AVENUE SE  ROCHESTER MN  55904,"426 3rd Ave SE, Rochester, MN 55904",44.01841,-92.458344
13,55421,4639 CENTRAL AVENUE NE COLUMBIA HEIGHTS  MN,"CASH CZECHS, INC. DBA KWIK CASH    ",4639 CENTRAL AVENUE NE COLUMBIA HEIGHTS  MN 55421,"4639 Central Ave NE, Minneapolis, MN 55421",45.052903,-93.247367
120,55104,478 LEXINGTON PARKWAY ST. PAUL MN,UNLOAN CORPORATION  ,478 LEXINGTON PARKWAY ST. PAUL MN 55104,"478 Lexington Pkwy N, St Paul, MN 55104",44.955487,-93.14648
41,55792,504 SECOND AVENUE  VIRGINIA  MN,S&P LOAN CO.   ,504 SECOND AVENUE  VIRGINIA  MN 55792,"504 S 2nd Ave W, Virginia, MN 55792",47.519459,-92.5328
113,55416,5109 MINNETONKA BLVD FERN HILL PLACE ST. LOUIS PARK MN,"ONEMAIN FINANCIAL SERVICES, INC.  ",5109 MINNETONKA BLVD FERN HILL PLACE ST. LOUIS PARK MN 55416,,,
63,55811,"5115 BURNING TREE ROAD BURNING TREE PLAZA, SUITE 303 DULUTH MN","ONEMAIN FINANCIAL SERVICES, INC.  ","5115 BURNING TREE ROAD BURNING TREE PLAZA, SUITE 303 DULUTH MN 55811",,,
80,55411,527 WEST BROADWAY MINNEAPOLIS MN,ACE MINNESOTA CORP  ,527 WEST BROADWAY MINNEAPOLIS MN 55411,"527 W Broadway Ave, Minneapolis, MN 55411",44.999095,-93.286081
72,55077,5300 SOUTH ROBERT TRAIL INVER GROVE HEIGHTS MN,"PAYDAY AMERICA, INC.  ",5300 SOUTH ROBERT TRAIL INVER GROVE HEIGHTS MN 55077,"5300 S Robert Trail, Inver Grove Heights, MN 55077",44.873189,-93.080396
112,55416,5775 WAYZATA BLVD SUITE 700 ST. LOUIS PARK MN,GENERAL MORTGAGE HOME EQUITY CORPORATION  ,5775 WAYZATA BLVD SUITE 700 ST. LOUIS PARK MN 55416,"5775 Wayzata Blvd, Minneapolis, MN 55416",44.968582,-93.353714
26,55416,5775 WAYZATA BOULEVARD SUITE 700 MINNEAPOLIS MN,WORKERS BENEFIT RELIANCE CORPORATION DBA WORKERSBEN    ,5775 WAYZATA BOULEVARD SUITE 700 MINNEAPOLIS MN 55416,"5775 Wayzata Blvd, Minneapolis, MN 55416",44.968582,-93.353714
29,56470,600 NORTH PARK AVENUE  PARK RAPIDS MN,CHECK TREK INC. DBA PEOPLES SMALL LOAN COMPANY   ,600 NORTH PARK AVENUE  PARK RAPIDS MN 56470,"600 Park Ave N, Park Rapids, MN 56470",46.927917,-95.057632
46,55420,601 WEST 98TH STREET BLOOMINGTON MN ,ACE MINNESOTA CORP. ,601 WEST 98TH STREET BLOOMINGTON MN  55420,"601 W 98th St, Minneapolis, MN 55420",44.826155,-93.287336
73,56001,604 NORTH VICTORY DR MANKATO MN,"E-Z OWN FINANCING, INC.  ",604 NORTH VICTORY DR MANKATO MN 56001,"604 N Victory Dr, Mankato, MN 56001",44.167383,-93.969308
56,55313,"606 CROSSROADS CAMPUS DRIVE NE CROSSROADS PLAZA, SUITE 103 BUFFALO MN","ONEMAIN FINANCIAL SERVICES, INC.  ","606 CROSSROADS CAMPUS DRIVE NE CROSSROADS PLAZA, SUITE 103 BUFFALO MN 55313",,,
53,55429,6219 BROOKLYN BOULEVARD BROOKLYN CENTER MN,ACE MINNESOTA CORP.  ,6219 BROOKLYN BOULEVARD BROOKLYN CENTER MN 55429,"6219 Brooklyn Blvd, Minneapolis, MN 55429",45.067834,-93.327156
51,56520,63 MINNESOTA AVENUE BRECKENRIDGE MN,"ONEMAIN FINANCIAL SERVICES, INC.  ",63 MINNESOTA AVENUE BRECKENRIDGE MN 56520,"63 Minnesota Ave, Breckenridge, MN 56520",46.263237,-96.596337
55,55429,6319 ZANE AVENUE NORTH BROOKLYN PARK MN,UNLOAN CORPORATION  ,6319 ZANE AVENUE NORTH BROOKLYN PARK MN 55429,"6319 Zane Ave N, Minneapolis, MN 55429",45.069798,-93.354683
100,55423,6525 NICOLLET AVENUE RICHFIELD MN ,ACE MINNESOTA CORP. ,6525 NICOLLET AVENUE RICHFIELD MN  55423,"6525 Nicollet Ave S, Minneapolis, MN 55423",44.884749,-93.278026
96,55060,660 WEST BRIDGE STREET OWATONNA MN,"MINNESOTA FIRST CREDIT AND SAVINGS, INCORPORATED  ",660 WEST BRIDGE STREET OWATONNA MN 55060,"660 W Bridge St, Owatonna, MN 55060",44.084415,-93.241691
66,55344,6640 SHADY OAKD ROAD SUITE 310 EDEN PRAIRIE MN,"LOTUS PREFERRED FUNDING, INC.  ",6640 SHADY OAKD ROAD SUITE 310 EDEN PRAIRIE MN 55344,"6640 Shady Oak Rd, Eden Prairie, MN 55344",44.881496,-93.414528
114,55102,668 W 7TH STREET ST. PAUL MN,ACE MINNESOTA CORP  ,668 W 7TH STREET ST. PAUL MN 55102,"668 7th St W, St Paul, MN 55102",44.933954,-93.117456
52,55429,6930 BROOKLYN BLVD BROOKLYN CENTER MN,ACE MINNESOTA CORP  ,6930 BROOKLYN BLVD BROOKLYN CENTER MN 55429,"6930 Brooklyn Blvd, Minneapolis, MN 55429",45.080959,-93.335899
89,55411,700 WEST BROADWAY AVENUE MINNEAPOLIS MN,UNLOAN CORPORATION  ,700 WEST BROADWAY AVENUE MINNEAPOLIS MN 55411,"700 W Broadway Ave, Minneapolis, MN 55411",44.99958,-93.288414
14,56501,"701 HIGHWAY 34, SUITE 1  DBA PEOPLE'S SMALL LOAN COMPANY  DETROIT LAKES MN",CHECK TREK INC. DBA PEOPLE'S SMALL LOAN COMPANY    ,"701 HIGHWAY 34, SUITE 1  DBA PEOPLE'S SMALL LOAN COMPANY  DETROIT LAKES MN 56501",,,
43,55303,701 WEST MAIN STREET ANOKA MN,"PAYDAY AMERICA, INC.  ",701 WEST MAIN STREET ANOKA MN 55303,"701 US-169 N, Anoka, MN 55303",45.205798,-93.400602
54,55429,7078 BROOKLYN BOULEVARD BROOKLYN CENTER MN ,"B & B FINANCIAL SERVICES, INC. ",7078 BROOKLYN BOULEVARD BROOKLYN CENTER MN  55429,"7078 Brooklyn Blvd, Minneapolis, MN 55429",45.083138,-93.339165
91,55403,727 HENNEPIN AVENUE MINNEAPOLIS MN,UNLOAN CORPORATION ,727 HENNEPIN AVENUE MINNEAPOLIS MN 55403,"727 Hennepin Ave, Minneapolis, MN 55403",44.977139,-93.275307
88,55403,727 HENNEPIN AVENUE SUITE 500 MINNEAPOLIS MN ,UNLOAN CORPORATION ,727 HENNEPIN AVENUE SUITE 500 MINNEAPOLIS MN  55403,"727 Hennepin Ave, Minneapolis, MN 55403",44.977139,-93.275307
90,55403,727 HENNEPIN AVENUE SUITE 500 MINNEAPOLIS MN,UNLOAN CORPORATION  ,727 HENNEPIN AVENUE SUITE 500 MINNEAPOLIS MN 55403,"727 Hennepin Ave, Minneapolis, MN 55403",44.977139,-93.275307
3,56601,750 PAUL BUNYAN DRIVE NW SUITE 1 BEMIDJI MN,S&P LOAN CO.   ,750 PAUL BUNYAN DRIVE NW SUITE 1 BEMIDJI MN 56601,"750 Paul Bunyan Dr NW, Bemidji, MN 56601",47.490832,-94.890879
121,56387,755 2ND STREET SOUTH SUNDIAL VILLAGE I WAITE PARK MN,"ONEMAIN FINANCIAL SERVICES, INC.  ",755 2ND STREET SOUTH SUNDIAL VILLAGE I WAITE PARK MN 56387,,,
40,55106,785 EAST 7TH STREET  ST. PAUL  MN ,"EXPRESS PAYDAY LOANS, INC.  ",785 EAST 7TH STREET  ST. PAUL  MN  55106,"785 7th St E, St Paul, MN 55106",44.961067,-93.068146
50,55420,7854 PORTLAND AVENUE BLOOMINGTON MN,UNLOAN CORPORATION  ,7854 PORTLAND AVENUE BLOOMINGTON MN 55420,"7854 Portland Ave S, Minneapolis, MN 55420",44.860627,-93.26823
69,55421,789 53RD AVENUE NE FRIDLEY MN,"PAYDAY AMERICA, INC.  ",789 53RD AVENUE NE FRIDLEY MN 55421,"789 53rd Ave NE, Minneapolis, MN 55421",45.064473,-93.251092
